,title,body,link
0,IN GOOD BOOKS,Nwaneri made Prem history at 15 then handed in English homework 24hrs later,https://www.thesun.co.uk/sport/24730271/arsenal-ethan-nwaneri-premier-league-school-homework/
1,ART ATTACK,Arteta charged by FA over furious outburst at officials after Newcastle clash,https://www.thesun.co.uk/sport/24763853/mikel-arteta-charged-by-fa-newcastle-arsenal-rant/
2,'SCOTLAND'S R9',Man United fans call for STRIP changes after Scott McTominay heroics,https://www.thesun.co.uk/sport/24764246/man-united-scott-mctominay-goals-scotland-strip/
3,DIG YOUR CLAUSE IN,Ivan Toney 'demands transfer release clause in new Brentford contract',https://www.thesun.co.uk/sport/24764032/ivan-toney-release-clause-brentford-contract-transfer/
4,HOT WHEELS,Win a stunning Ferrari or £110k cash alternative from just 71p with our discount,https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
5,FALLING FOUL OF REF,Prem's dirtiest stars revealed with England ace top ahead of Udogie,https://www.thesun.co.uk/sport/24762139/premier-league-conor-gallagher-destiny-udogie/
6,'DISGRACE',McTominay accuses Georgia stars of 'crying like babies' as he blasts rivals,https://www.thesun.co.uk/sport/24764416/scott-mctominay-georgia-disgrace-scotland-cry-babies/
7,HE'S SO LOAN-LY,Chelsea fans beg 'bring him home' as club consider recalling star from loan,https://www.thesun.co.uk/sport/24761620/chelsea-consider-recalling-andrey-santos-loan-forest/
8,FERGIE TIME,Ferguson's role in Ratcliffe's Man Utd takeover revealed ahead of staff changes,https://www.thesun.co.uk/sport/24762071/ferguson-ratcliffe-man-utd-takeover/
9,ROL UP,Win a stunning Rolex watch or a £14k cash alternative from 89p with our discount,https://www.thesun.co.uk/sport/18922011/win-rolex-7dp/
10,GREAT SCOTT,Alex Scott's see-through outfit leaves England Lioness star stunned,https://www.thesun.co.uk/sport/24760640/alex-scott-see-through-england-lioness-leah-williamson/
11,JO FOR IT,Newcastle icon Gutierrez lands first management job decade after beating cancer,https://www.thesun.co.uk/sport/24757638/newcastle-jonas-gutierrez-manager-almagro-cancer/
12,BRIGHT PROSPECT,Seagulls chief reveals Roberto De Zerbi replacement plan amid transfer link,https://www.thesun.co.uk/sport/24761688/brighton-roberto-de-zerbi-real-madrid-manchester-city/
13,DEVIL MAY CARE,Man Utd face losing SEVEN stars worth £70m for free ahead of January window,https://www.thesun.co.uk/sport/24760414/man-utd-martial-lindelof-free-transfer/
14,WELCOME OFFER,The Sun Play is BACK! Sign up now for the chance to win 500 free spins,https://www.thesun.co.uk/sport/24718401/sun-play-welcome-offer/
15,WOW!,Alex Scott wows as she goes braless in see-through dress at GQ Men of the Year awards,https://www.thesun.co.uk/sport/24752080/alex-scott-braless-gq-men-of-the-year-awards/
16,,My dad's a world-famous ex footballer but I was useless and quit for a normal job,https://www.thesun.co.uk/sport/24761658/gary-lineker-son-george-useless-at-football-normal-job/
17,ITALIAN JOB,AC Milan icon Maldini 'lined up for shock Man Utd job' as part of huge shake-up,https://www.thesun.co.uk/sport/24761629/man-utd-news-jim-ratcliffe-paulo-maldini-sporting-director/
18,LOCKED UP,Ex-Premier League striker JAILED for failing to pay his beauty queen ex-wife £70k,https://www.thesun.co.uk/sport/24753677/ex-premier-league-player-jailed-aston-villa/
19,HAPPY MAN,Pharrell Williams gives Rooney headache as Birmingham academy ace scores twice,https://www.thesun.co.uk/sport/24761682/pharrell-williams-wayne-rooney-birmingham-academy/
20,TOP GUI,Meet the journeyman star who threatens to overshadow Kane's debut season at Bayern,https://www.thesun.co.uk/sport/24757589/harry-kane-bayern-munich-bundesliga-stuttgart-serhou-guirassy-transfer/
21,BUCKINGHAM PALACE,Oxford to appoint little-known manager and PILOT from Indian Super League,https://www.thesun.co.uk/sport/24760155/oxford-indian-super-league-liam-manning-des-buckingham/
22,ED OF STRATEGY,Ex-Man Utd chief lands shock job nearly two years after Old Trafford exit,https://www.thesun.co.uk/sport/24758888/man-utd-chief-ed-woodward-lands-new-job/
23,CLIFFE HANGER,Ratcliffe 'to be made to wait until MID-JANUARY before takeover is complete',https://www.thesun.co.uk/sport/24754166/sir-jim-ratcliffe-wait-man-utd-transfer/
